id X Y Z
664 87677.53125 12658.22852 47.86299896
665 87664.52344 12530.13477 47.45000076
666 87678.84375 12649.05078 47.8730011
667 87689.78125 12698.37207 44.29000092
668 87577.85938 12725.57031 45.57500076
669 87693.84375 12687.27148 44.57099915
670 87666.29688 12644.42969 50.24200058
671 87667.57031 12528.98242 52.17200089
672 87694.60938 12683.79297 47.43399811
673 87694 12674.94824 49.61000061
674 87679.34375 12640.92969 48.38700104
675 87675.91406 12533.35254 52.13499832
676 87690.29688 12664.74023 51.89599991
677 87691.88281 12656.25684 50.85499954
678 87680.1875 12629.6123 45.86100006
679 87672.59375 12518.62012 51.99200058
680 87688.69531 12643.89355 48.48099899
681 87691.0625 12632.79883 45.84700012
682 87535.38281 12742.03613 44.875
683 87667.79688 12505.52637 51.63700104
684 87673.6875 12624.2207 46.18600082
685 87690.54688 12629.50684 46.11399841
686 87673.75 12615.59082 48.98099899
687 87691.78906 12620.00391 48.98899841
688 87675.11719 12543.76563 51.36600113
689 87679.60938 12599.05762 49.33000183
690 87694.1875 12608.15234 49.52099991
691 87680.28125 12595.16211 50.01300049
692 87681.65625 12567.375 50.82400131
693 87697.25 12591.95703 50.64099884
694 87685.92188 12579.54883 50.69300079
695 87672.15625 12574.87891 49.50799942
696 87542.71875 12744.13086 44.9679985
697 87549.29688 12746.41992 46.30699921
698 87556.52344 12749.23242 44.49399948
699 87663.79688 12596.58105 46.04600143
700 87683.67188 12579.62891 48.00799942
701 87677.07031 12590.02637 50.70700073
